"uniorcam";"funcao";"subfuncao";"programa";"obsoleto1";"projativ";"elemento";"recurso_vinculado";"dotacao_inicial";"atualizacao_monetaria";"credito_suplementar";"credito_especial";"credito_extraordinario";"reducao_dotacao";"suplementacao_recurso_vinculado";"reducao_recurso_vinculado";"empenhado";"liquidado";"pago";"limitado";"recomposto";"previsao_ate_termino";"complemento_recurso_vinculado";"exercicio_base"
"0201";4;122;1;"000";1002;"449030";1;10000;0;0;0;0;9905,5;0;0;0;0;0;0;0;94,5;NA;2018
"0201";4;122;1;"000";1002;"449039";1;10000;0;0;0;0;10000;0;0;0;0;0;0;0;0;NA;2018
"0201";4;122;1;"000";1002;"449051";1;20000;0;0;0;0;19999,59;0;0;0;0;0;0;0;0,41;NA;2018
"0201";4;122;1;"000";1002;"449052";1;20000;0;0;0;0;20000;0;0;0;0;0;0;0;0;NA;2018
"0201";4;122;1;"000";2003;"319011";1;13000;0;1600;0;0;47,39;0;0;14552,61;14552,61;14552,61;0;0;14552,61;NA;2018
"0201";4;122;1;"000";2003;"319016";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0201";4;122;1;"000";2003;"319094";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0201";4;122;1;"000";2003;"319113";1;3900;0;0;0;0;1594,34;0;0;2305,66;2305,66;2305,66;0;0;2305,66;NA;2018
"0201";4;122;1;"000";2003;"339030";1;10000;0;625,75;0;0;1000;0;0;8442,69;8442,69;8442,69;0;0;9625,75;NA;2018
"0201";4;122;1;"000";2003;"339036";1;500;0;0;0;0;0;0;0;0;0;0;0;0;500;NA;2018
"0201";4;122;1;"000";2003;"339039";1;20000;0;25990;0;0;0;0;0;38035,56;38035,56;38035,56;0;0;45990;NA;2018
"0201";4;122;1;"000";2003;"339046";1;1000;0;600;0;0;0;0;0;1568,37;1568,37;1568,37;0;0;1600;NA;2018
"0201";4;122;1;"000";2003;"449052";1;2000;0;0;0;0;1978;0;0;0;0;0;0;0;22;NA;2018
"0201";4;122;1;"000";2004;"319011";1;319000;0;42861,9;0;0;39638,83;0;0;322223,07;322223,07;322223,07;0;0;322223,07;NA;2018
"0201";4;122;1;"000";2004;"319013";1;63000;0;0;0;0;3560,67;0;0;59439,33;59439,33;59439,33;0;0;59439,33;NA;2018
"0201";4;122;1;"000";2004;"319016";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0201";4;122;1;"000";2004;"319094";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0201";4;122;1;"000";2004;"319113";1;1200;0;0;0;0;645,35;0;0;554,65;554,65;554,65;0;0;554,65;NA;2018
"0201";4;122;1;"000";2004;"339014";1;5000;0;800;0;0;0;0;0;5648,13;5648,13;5648,13;0;0;5800;NA;2018
"0201";4;122;1;"000";2004;"339030";1;7000;0;1333;0;0;1000;0;0;7092,61;7092,61;7092,61;0;0;7333;NA;2018
"0201";4;122;1;"000";2004;"339033";1;5000;0;0;0;0;0;0;0;3275;3275;3275;0;0;5000;NA;2018
"0201";4;122;1;"000";2004;"339036";1;1000;0;0;0;0;500;0;0;0;0;0;0;0;500;NA;2018
"0201";4;122;1;"000";2004;"339039";1;6000;0;4000;0;0;330;0;0;9415,72;9415,72;9415,72;0;0;9670;NA;2018
"0201";4;122;1;"000";2004;"339046";1;3000;0;0;0;0;2212,5;0;0;787,5;787,5;787,5;0;0;787,5;NA;2018
"0201";4;122;1;"000";2004;"339093";1;500;0;1700;0;0;0;0;0;1851,75;1851,75;1851,75;0;0;2200;NA;2018
"0201";4;122;1;"000";2004;"449052";1;2000;0;0;0;0;1100;0;0;0;0;0;0;0;900;NA;2018
"0203";4;122;1;"000";2005;"339035";1;10000;0;0;0;0;10000;0;0;0;0;0;0;0;0;NA;2018
"0203";4;122;1;"000";2005;"339039";1;35000;0;20000;0;0;0;0;0;53351,88;53351,88;53351,88;0;0;55000;NA;2018
"0203";4;122;1;"000";2006;"319011";1;96000;0;22188,83;0;0;3556,16;0;0;114632,67;114632,67;114632,67;0;0;114632,67;NA;2018
"0203";4;122;1;"000";2006;"319013";1;19000;0;5620,66;0;0;547,84;0;0;24072,82;24072,82;24072,82;0;0;24072,82;NA;2018
"0203";4;122;1;"000";2006;"319094";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0203";4;122;1;"000";2006;"339014";1;2400;0;0;0;0;0;0;0;0;0;0;0;0;2400;NA;2018
"0203";4;122;1;"000";2006;"339030";1;1000;0;0;0;0;0;0;0;0;0;0;0;0;1000;NA;2018
"0203";4;122;1;"000";2006;"339033";1;2400;0;0;0;0;0;0;0;0;0;0;0;0;2400;NA;2018
"0203";4;122;1;"000";2006;"339035";1;50000;0;6700;0;0;25000;0;0;31439,47;31439,47;31439,47;0;0;31700;NA;2018
"0203";4;122;1;"000";2006;"339036";1;500;0;0;0;0;0;0;0;0;0;0;0;0;500;NA;2018
"0203";4;122;1;"000";2006;"339039";1;20000;0;0;0;0;15000;0;0;2500,74;2500,74;2500,74;0;0;5000;NA;2018
"0203";4;122;1;"000";2006;"339046";1;6000;0;3029,8;0;0;172;0;0;8857,8;8857,8;8857,8;0;0;8857,8;NA;2018
"0203";4;122;1;"000";2006;"339093";1;500;0;0;0;0;0;0;0;0;0;0;0;0;500;NA;2018
"0203";4;122;1;"000";2006;"449052";1;2000;0;0;0;0;2000;0;0;0;0;0;0;0;0;NA;2018
"0203";4;122;2;"000";2007;"339014";1;5000;0;0;0;0;4920;0;0;0;0;0;0;0;80;NA;2018
"0203";4;122;2;"000";2007;"339033";1;5000;0;0;0;0;5000;0;0;0;0;0;0;0;0;NA;2018
"0203";4;122;2;"000";2007;"339039";1;10000;0;0;0;0;10000;0;0;0;0;0;0;0;0;NA;2018
"0203";4;124;1;"000";2008;"319011";1;65000;0;600;0;0;746,83;0;0;64853,17;64853,17;64853,17;0;0;64853,17;NA;2018
"0203";4;124;1;"000";2008;"319016";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0203";4;124;1;"000";2008;"319094";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0203";4;124;1;"000";2008;"319113";1;20000;0;137,78;0;0;13400;0;0;6737,78;6737,78;6737,78;0;0;6737,78;NA;2018
"0203";4;124;1;"000";2008;"339014";1;12000;0;0;0;0;7000;0;0;4386,05;4386,05;4386,05;0;0;5000;NA;2018
