"receita";"uniorcam";"orcado";"arrecadado";"recurso_vinculado";"especificacao";"tipo_nivel";"nivel";"caracteristica_peculiar_receita";"previsao_atualizada";"complemento_recurso_vinculado";"exercicio_base"
"00000100000000000000";"0201";25997684,56;29000673,9;0;"Receitas Correntes";"S";1;0;27939785,61;NA;2018
"00000110000000000000";"0201";1696880,56;2365067,62;0;"Impostos, Taxas e Contribuicoes de Melhoria";"S";2;0;2324630,56;NA;2018
"00000111000000000000";"0201";1661453,47;2319892,96;0;"Impostos";"S";3;0;2289203,47;NA;2018
"00000111200000000000";"0201";1e+05;81978,44;0;"Impostos sobre o Patrimonio";"S";4;0;1e+05;NA;2018
"00000111201000000000";"0201";1e+05;81978,44;0;"Imposto sobre a Propriedade Territorial Rural";"S";5;0;1e+05;NA;2018
"00000111201100000000";"0201";1e+05;81978,44;0;"Imposto sobre a Propriedade Territorial Rural - Municipios Conveniados";"S";6;0;1e+05;NA;2018
"00000111201110000000";"0201";1e+05;81978,44;0;"Imposto sobre a Propriedade Territorial Rural - Municipios Conveniados - Principal";"S";6;0;1e+05;NA;2018
"00000111201110100000";"0201";60000;49187,03;1;"ITR - Municipios Conveniados - Principal - PROPRIO";"A";7;0;60000;NA;2018
"00000111201110200000";"0201";5000;4098,91;20;"ITR - Municipios Conveniados - Principal - MDE";"A";7;0;5000;NA;2018
"00000111201110300000";"0201";15000;12296,78;40;"ITR - Municipios Conveniados - Principal - ASPS";"A";7;0;15000;NA;2018
"00000111201110400000";"0201";20000;16395,72;31;"ITR - Municipios Conveniados - Principal - FUNDEB";"A";7;0;20000;NA;2018
"00000111300000000000";"0201";433871,14;548450,15;0;"Impostos sobre a Renda e Proventos de Qualquer Natureza";"S";4;0;507371,14;NA;2018
"00000111303000000000";"0201";433871,14;548450,15;0;"Imposto sobre a Renda - Retido na Fonte";"S";5;0;507371,14;NA;2018
"00000111303100000000";"0201";433871,14;547985,97;0;"Imposto sobre a Renda - Retido na Fonte - Trabalho";"S";6;0;507371,14;NA;2018
"00000111303110000000";"0201";433871,14;547985,97;0;"Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal";"S";6;0;507371,14;NA;2018
"00000111303110100000";"0201";342176,34;449440,72;0;"IRRF sobre Rendimentos do  Trabalho - Principal - Ativos/Inativos do Poder Executivo/Indiretas";"S";7;0;405676,34;NA;2018
"00000111303110101000";"0201";205305,81;269664,43;1;"IRRF sobre Rendimentos do  Trabalho - Principal - Ativos/Inativos do Poder Executivo/Indiretas - PRO";"A";8;0;243305,81;NA;2018
"00000111303110102000";"0201";85544,08;112360,19;20;"IRRF sobre Rendimentos do  Trabalho - Principal - Ativos/Inativos do Poder Executivo/Indiretas - MDE";"A";8;0;101544,08;NA;2018
"00000111303110103000";"0201";51326,45;67416,1;40;"IRRF sobre Rendimentos do  Trabalho - Principal - Ativos/Inativos do Poder Executivo/Indiretas- ASPS";"A";8;0;60826,45;NA;2018
"00000111303110200000";"0201";48870,97;36630,19;0;"IRRF sobre Rendimentos do  Trabalho - Principal - Ativos/Inativos do Poder Legislativo";"S";7;0;48870,97;NA;2018
"00000111303110201000";"0201";29322,58;21978,11;1;"IRRF sobre Rendimentos do  Trabalho - Principal - Ativos/Inativos do Poder Legislativo - PROPRIO";"A";8;0;29322,58;NA;2018
"00000111303110202000";"0201";12217,74;9157,56;20;"IRRF sobre Rendimentos do  Trabalho - Principal - Ativos/Inativos do Poder Legislativo - MDE";"A";8;0;12217,74;NA;2018
"00000111303110203000";"0201";7330,65;5494,52;40;"IRRF sobre Rendimentos do  Trabalho - Principal - Ativos/Inativos do Poder Legislativo - ASPS";"A";8;0;7330,65;NA;2018
"00000111303110300000";"0201";42823,83;61915,06;0;"IRRF sobre Rendimentos do  Trabalho - Principal - Inativos pagos pelo RPPS";"S";7;0;52823,83;NA;2018
"00000111303110301000";"0201";25694,3;37149;1;"IRRF sobre Rendimentos do  Trabalho - Principal - Inativos pagos pelo RPPS - PROPRIO";"A";8;0;31694,3;NA;2018
"00000111303110302000";"0201";10705,96;15478,79;20;"IRRF sobre Rendimentos do  Trabalho - Principal - Inativos pagos pelo RPPS - MDE";"A";8;0;13205,96;NA;2018
"00000111303110303000";"0201";6423,57;9287,27;40;"IRRF sobre Rendimentos do  Trabalho - Principal - Inativos pagos pelo RPPS - ASPS";"A";8;0;7923,57;NA;2018
"00000111303400000000";"0201";0;464,18;0;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos";"S";6;0;0;NA;2018
"00000111303410000000";"0201";0;464,18;0;"Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal";"S";6;0;0;NA;2018
"00000111303410100000";"0201";0;464,18;0;"IRRF - Outros Rendimentos - Principal - Poder Executivo";"S";7;0;0;NA;2018
"00000111303410101000";"0201";0;278,5;1;"IRRF - Outros Rendimentos - Principal - Poder Executivo - PROPRIO";"A";8;0;0;NA;2018
"00000111303410102000";"0201";0;116,05;20;"IRRF - Outros Rendimentos - Principal - Poder Executivo - Principal - MDE";"A";8;0;0;NA;2018
"00000111303410103000";"0201";0;69,63;40;"IRRF - Outros Rendimentos - Principal - Poder Executivo - Principal - ASPS";"A";8;0;0;NA;2018
"00000111800000000000";"0201";1127582,33;1689464,37;0;"Impostos Especificos de Estados/DF Municipios";"S";4;0;1681832,33;NA;2018
"00000111801000000000";"0201";865384,65;1368265,51;0;"Impostos sobre o Patrimonio para Estados/DF/Municipios";"S";5;0;1389634,65;NA;2018
"00000111801100000000";"0201";421371;415063,75;0;"Imposto sobre a Propriedade Predial e Territorial Urbana";"S";6;0;514371;NA;2018
"00000111801110000000";"0201";323358,17;340993,28;0;"Imposto sobre a Propriedade Predial e Territorial Urbana - Principal";"S";6;0;416358,17;NA;2018
"00000111801110100000";"0201";194014,9;204593,64;1;"IPTU - Principal - PROPRIO";"A";7;0;248014,9;NA;2018
"00000111801110200000";"0201";80839,54;85250,23;20;"IPTU - Principal - MDE";"A";7;0;106339,54;NA;2018
"00000111801110300000";"0201";48503,73;51149,41;40;"IPTU - Principal - ASPS";"A";7;0;62003,73;NA;2018
"00000111801120000000";"0201";2841,67;3861,23;0;"Imposto sobre a Propriedade Predial e Territorial Urbana - Multas e Juros";"S";6;0;2841,67;NA;2018
"00000111801120100000";"0201";1705;2316,52;1;"IPTU - Multas e Juros - PROPRIO";"A";7;0;1705;NA;2018
"00000111801120200000";"0201";710,42;965,49;20;"IPTU - Multas e Juros - MDE";"A";7;0;710,42;NA;2018
"00000111801120300000";"0201";426,25;579,22;40;"IPTU - Multas e Juros - ASPS";"A";7;0;426,25;NA;2018
