"conta_contabil";"uniorcam";"saldo_anterior_debito";"saldo_anterior_credito";"movimento_debito";"movimento_credito";"saldo_atual_debito";"saldo_atual_credito";"especificacao";"tipo_nivel";"nivel";"obsoleto1";"escrituracao";"natureza_informacao";"indicador_superavit";"recurso_vinculado";"complemento_recurso_vinculado";"exercicio_base"
"00000100000000000000";"0201";39795814,11;0;145222031,25;138164310,93;46853534,43;0;"ATIVO";"S";1;"F";"N";"P";"F";0;NA;2018
"00000110000000000000";"0201";22128393,99;0;135335947,04;132110417,41;25353923,62;0;"ATIVO CIRCULANTE";"S";2;"F";"N";"P";"F";0;NA;2018
"00000111000000000000";"0201";1465708,75;0;120874213,35;120233770,67;2106151,43;0;"CAIXA E EQUIVALENTES DE CAIXA";"S";3;"F";"N";"P";"F";0;NA;2018
"00000111100000000000";"0201";1465708,75;0;120874213,35;120233770,67;2106151,43;0;"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL";"S";4;"F";"N";"P";"F";0;NA;2018
"00000111110000000000";"0201";1465708,75;0;120874213,35;120233770,67;2106151,43;0;"CAIXA E EQUIVALENTES DE CAIXA EM MOEDA NACIONAL - CONSOLIDACAO";"S";5;"F";"N";"P";"F";0;NA;2018
"00000111110100000000";"0201";0;0;9385877,04;9385877,04;0;0;"CAIXA";"A";6;"F";"S";"P";"F";0;NA;2018
"00000111110600000000";"0201";0;0;5564150,35;5564150,35;0;0;"CONTA UNICA  - RPPS";"S";6;"F";"N";"P";"F";0;NA;2018
"00000111110601010000";"1201";0;0;5449921,8;5449921,8;0;0;"BB GERAL FPSM MOV 0050 3732-X/6.301-0";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111110601020000";"1201";0;0;114228,55;114228,55;0;0;"CEF GERAL FPSM MOV 0050 0521/006.295-1";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111900000000";"0201";21446,21;0;80235002,62;80165418,89;91029,94;0;"BANCOS CONTA MOVIMENTO - DEMAIS CONTAS";"S";6;"F";"N";"P";"F";0;NA;2018
"00000111111902000000";"0201";21446,21;0;40830118,57;40760534,84;91029,94;0;"BANCO DO BRASIL";"S";7;"F";"N";"P";"F";0;NA;2018
"00000111111902010000";"0201";0;0;20959733,24;20959733,24;0;0;"BB GERAL PREF MOV 0001 3732-X/7.132-3";"A";8;"F";"S";"P";"F";0;NA;2018
"00000111111902020000";"0201";0;0;8068380,4;8068380,4;0;0;"BB FPM PREF MOV 0001 3732-X/7.129-3";"A";8;"F";"S";"P";"F";0;NA;2018
