"receita";"uniorcam";"arrecadado_janeiro";"arrecadado_fevereiro";"arrecadado_marco";"arrecadado_abril";"arrecadado_maio";"arrecadado_junho";"arrecadado_julho";"arrecadado_agosto";"arrecadado_setembro";"arrecadado_outubro";"arrecadado_novembro";"arrecadado_dezembro";"meta_1bim";"meta_2bim";"meta_3bim";"meta_4bim";"meta_5bim";"meta_6bim";"caracteristica_peculiar_receita";"recurso_vinculado";"complemento_recurso_vinculado";"exercicio_base"
"00000100000000000000";"0201";2529316,01;2598377,43;1991853,13;2213976,65;2507629,12;2387454,56;2689089,56;1800563,24;1951720,25;2910060,4;2049310,71;3371322,84;4298564,03;4451561,92;4441216,96;4508042,18;4484110,03;5756290,49;0;0;NA;2018
"00000110000000000000";"0201";97500,12;76948,29;127821,3;154559,35;289471,42;627165,29;133899,09;133175,4;202715,47;264329,03;107086,42;150396,44;274702,51;284699,81;307369,98;277337,19;394146,1;786374,97;0;0;NA;2018
"00000111000000000000";"0201";96020,39;76046,15;126188,42;153456,71;288032,42;624965,11;133004,22;124722,37;188280,48;257540,14;103696,75;147939,8;268798,03;278795,33;301465,5;271432,71;388241,62;780470,28;0;0;NA;2018
"00000111200000000000";"0201";3004,83;9,24;6,73;44,78;7960,18;1677,2;166,71;237,42;21400,86;37819,27;5649,24;4001,98;16666,68;16666,68;16666,68;16666,68;16666,68;16666,6;0;0;NA;2018
"00000111201000000000";"0201";3004,83;9,24;6,73;44,78;7960,18;1677,2;166,71;237,42;21400,86;37819,27;5649,24;4001,98;16666,68;16666,68;16666,68;16666,68;16666,68;16666,6;0;0;NA;2018
"00000111201100000000";"0201";3004,83;9,24;6,73;44,78;7960,18;1677,2;166,71;237,42;21400,86;37819,27;5649,24;4001,98;16666,68;16666,68;16666,68;16666,68;16666,68;16666,6;0;0;NA;2018
"00000111201110000000";"0201";3004,83;9,24;6,73;44,78;7960,18;1677,2;166,71;237,42;21400,86;37819,27;5649,24;4001,98;16666,68;16666,68;16666,68;16666,68;16666,68;16666,6;0;0;NA;2018
"00000111201110100000";"0201";1802,9;5,54;4,03;26,86;4776,1;1006,32;100,02;142,46;12840,52;22691,56;3389,54;2401,18;10000;10000;10000;10000;10000;10000;0;1;NA;2018
"00000111201110200000";"0201";150,24;0,46;0,34;2,24;398,01;83,86;8,33;11,87;1070,04;1890,96;282,46;200,1;833,34;833,34;833,34;833,34;833,34;833,3;0;20;NA;2018
"00000111201110300000";"0201";450,72;1,39;1,01;6,72;1194,03;251,58;25,01;35,61;3210,13;5672,89;847,39;600,3;2500;2500;2500;2500;2500;2500;0;40;NA;2018
